timestamp_unix,timestamp_iso,participant_full_id,prv_rmssd_ms,missing_value_reason
1746576000000,2025-05-07T00:00:00Z,1481-1-1-007,,worn_during_motion
1746576060000,2025-05-07T00:01:00Z,1481-1-1-007,,worn_during_motion
1746576120000,2025-05-07T00:02:00Z,1481-1-1-007,,worn_during_motion
1746576180000,2025-05-07T00:03:00Z,1481-1-1-007,,worn_during_motion
1746576240000,2025-05-07T00:04:00Z,1481-1-1-007,,worn_during_motion
1746576300000,2025-05-07T00:05:00Z,1481-1-1-007,,worn_during_motion
1746576360000,2025-05-07T00:06:00Z,1481-1-1-007,,worn_during_motion
1746576420000,2025-05-07T00:07:00Z,1481-1-1-007,,worn_during_motion
1746576480000,2025-05-07T00:08:00Z,1481-1-1-007,,worn_during_motion
1746576540000,2025-05-07T00:09:00Z,1481-1-1-007,,worn_during_motion
1746576600000,2025-05-07T00:10:00Z,1481-1-1-007,,worn_during_motion
1746576660000,2025-05-07T00:11:00Z,1481-1-1-007,,worn_during_motion
1746576720000,2025-05-07T00:12:00Z,1481-1-1-007,,worn_during_motion
1746576780000,2025-05-07T00:13:00Z,1481-1-1-007,,worn_during_motion
1746576840000,2025-05-07T00:14:00Z,1481-1-1-007,,worn_during_motion
1746576900000,2025-05-07T00:15:00Z,1481-1-1-007,,worn_during_motion
1746576960000,2025-05-07T00:16:00Z,1481-1-1-007,,worn_during_motion
1746577020000,2025-05-07T00:17:00Z,1481-1-1-007,,worn_during_motion
1746577080000,2025-05-07T00:18:00Z,1481-1-1-007,,worn_during_motion
1746577140000,2025-05-07T00:19:00Z,1481-1-1-007,,worn_during_motion
1746577200000,2025-05-07T00:20:00Z,1481-1-1-007,,worn_during_motion
1746577260000,2025-05-07T00:21:00Z,1481-1-1-007,,worn_during_motion
1746577320000,2025-05-07T00:22:00Z,1481-1-1-007,73.79237,
1746577380000,2025-05-07T00:23:00Z,1481-1-1-007,33.675575,
1746577440000,2025-05-07T00:24:00Z,1481-1-1-007,,worn_during_motion
